TAZ,gqpop2010,military_jobs,ag,cstr,fire,govt,hh1,hh2,hh3,hh4,hh5,hotel,hr,hu,indus,pop,rc,retail,service,tcu,totalemp,totalhh
285,5,0,6,26,30,1,217,381,252,172,192,0,0,1279,6,3604,0,25,84,6,184,1214
286,12,0,3,34,12,48,154,317,194,166,172,0,0,1044,9,3047,0,34,471,6,617,1003
287,33,0,0,9,4,0,57,119,70,51,54,0,0,386,2,1068,0,7,129,2,153,351
288,15,0,0,20,2,33,551,488,166,92,69,0,0,1422,40,2827,0,10,174,1,280,1366
289,6,0,0,20,8,32,45,78,43,29,38,0,0,244,0,663,0,2,137,0,199,233
290,0,0,0,14,16,10,110,187,125,88,135,0,0,673,3,1984,0,2,32,0,77,645
291,83,0,0,16,28,13,10,21,17,8,9,0,0,67,0,271,0,43,78,1,179,65
292,45,0,0,7,5,0,17,24,28,22,7,0,0,105,0,322,0,0,253,0,265,98
293,0,0,0,18,36,14,34,66,35,35,27,0,0,205,2,583,0,0,19,0,89,197
294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,19,9,0,107,234,156,110,137,0,0,780,3,2269,0,0,72,2,105,744
296,28,0,0,27,20,14,95,160,104,69,95,0,0,554,6,1562,0,32,1219,10,1328,523
297,3,0,0,20,6,0,54,89,66,33,42,0,0,298,3,792,0,1,200,1,231,284
298,0,0,0,29,29,41,190,118,74,46,53,0,0,524,1,1146,0,3,819,6,928,481
299,0,0,0,22,11,24,140,115,68,38,35,0,0,440,0,921,0,4,208,3,272,396
300,183,0,4,49,309,289,125,94,50,53,39,0,0,421,38,1075,0,163,2817,84,3753,361
301,172,0,0,20,8,18,104,86,68,33,29,0,0,344,2,970,0,12,413,2,475,320
302,120,0,0,19,19,30,103,160,90,82,124,0,0,616,7,1947,0,9,359,7,450,559
303,12,0,0,27,133,99,96,99,52,48,43,0,0,401,336,944,0,81,1002,529,2207,338
304,0,0,0,19,21,25,4,17,16,6,12,0,0,63,6,186,0,4,77,5,157,55
305,19,0,0,18,0,7,273,191,91,56,80,0,0,772,15,1668,0,5,12,0,57,691
306,8,0,0,14,2,13,96,106,56,60,73,0,0,440,11,1241,0,50,58,1,149,391
307,0,0,0,25,4,26,11,16,17,16,29,0,0,98,3,363,0,6,227,3,294,89
308,0,0,0,25,49,50,23,51,17,23,41,0,0,161,4,561,0,13,671,10,822,155
309,0,0,1,20,118,48,105,131,101,100,108,0,0,594,5,1737,0,262,345,23,822,545
310,154,0,0,21,116,104,175,231,172,146,195,0,0,1000,13,3284,0,51,485,25,815,919
311,520,0,3,28,86,366,12,46,34,31,38,0,0,170,11,1102,0,49,1731,11,2285,161
312,91,0,0,23,45,2,116,193,171,156,323,0,0,1035,9,3916,0,6,100,6,191,959
313,15,0,0,16,1,3,70,76,77,67,126,0,0,458,3,1548,0,15,33,2,73,416
314,24,0,0,16,10,0,31,72,62,67,149,0,0,406,2,1631,0,2,64,1,95,381
315,31,0,0,16,5,0,41,83,75,86,121,0,0,431,4,1709,0,15,154,0,194,406
316,0,0,0,18,6,16,213,179,128,92,154,0,0,857,1,2249,0,2,425,7,475,766
317,68,0,0,19,332,11,228,250,144,139,241,0,0,1141,172,3333,0,33,1148,2053,3768,1002
318,0,0,4,18,4,60,15,87,45,43,94,0,0,307,1,1145,0,2,19,1,109,284
319,73,0,1,24,21,32,32,63,32,34,84,0,0,258,0,1011,0,1,99,9,187,245
320,27,0,7,17,4,195,10,24,11,15,10,0,0,74,2,254,0,0,33,1,259,70
321,0,0,0,7,0,0,41,73,41,30,79,0,0,269,3,852,0,0,69,1,80,264
322,105,0,7,16,2,74,117,120,94,60,168,0,0,640,1,2155,0,5,157,1,263,559
323,27,0,0,28,12,41,119,242,178,127,355,0,0,1083,10,4013,0,0,171,2,264,1021
324,0,0,0,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
331,31,0,9,22,15,107,0,0,0,0,0,0,0,0,212,31,0,136,149,601,1251,0
332,24,0,24,23,22,161,0,0,0,0,1,0,0,2,284,30,0,74,439,651,1678,1
340,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,58,0
346,0,181,0,110,0,276,0,1,0,1,0,0,0,2,251,6,0,114,142,36,1110,2
347,0,0,8,22,10,195,0,0,0,0,0,0,0,0,261,0,0,86,224,454,1260,0
350,0,0,16,31,49,351,10,2,4,1,1,0,0,20,733,35,0,207,1530,126,3043,18
360,201,2881,0,237,16,0,11,32,21,16,14,0,0,113,0,484,0,0,56,0,3190,94
361,9,0,0,21,20,18,181,369,223,158,180,0,0,1152,7,3274,0,3,104,13,186,1111
362,33,0,2,31,22,627,76,203,137,99,123,0,0,666,6,2045,0,64,389,3,1144,638
363,206,1979,0,214,18,0,33,64,43,21,20,0,0,214,0,701,0,0,354,28,2593,181
364,5,0,0,19,19,0,124,215,105,55,43,0,0,624,4,1341,0,0,203,1,246,542
365,43,0,0,38,41,37,877,875,362,223,164,0,0,2770,18,5599,0,85,293,19,531,2501
366,0,0,0,18,14,67,1231,1127,560,343,249,0,0,4295,3,7965,0,21,203,3,329,3510
367,14,0,0,31,103,7,60,229,126,87,101,0,0,639,5,1873,0,89,264,13,512,603
368,117,0,0,16,29,0,184,318,260,222,469,0,0,1595,2,5784,0,34,292,2,375,1453
369,0,216,0,84,16,0,72,157,154,139,140,0,0,774,0,2229,0,0,754,7,1077,662
370,0,0,0,19,1,70,386,322,157,125,86,0,0,1297,2,2507,0,0,64,0,156,1076
371,929,194,19,110,166,1318,0,0,0,0,0,0,0,0,1094,929,0,176,502,22,3601,0
372,0,0,0,0,0,0,31,85,51,46,66,0,0,347,2,934,0,0,24,0,26,279
373,98,0,1,35,128,469,156,334,191,175,238,0,0,1220,14,3638,0,161,430,11,1249,1094
374,0,0,0,16,1,147,165,173,84,35,40,0,0,590,1,1150,0,0,4,0,169,497
375,41,0,4,41,142,128,216,496,305,243,306,0,0,1655,484,5091,0,113,1090,163,2165,1566
376,134,0,0,0,0,0,0,1,1,2,2,0,0,11,0,160,0,0,20,0,20,6
377,2,0,5,34,467,410,0,0,0,0,0,0,0,0,1094,2,0,452,2118,426,5006,0
384,337,0,1,90,213,256,20,45,41,31,49,0,0,228,76,983,0,169,570,121,1496,186
385,104,0,1,31,69,68,81,97,78,82,98,0,0,515,12,1511,0,6,612,51,850,436
389,0,6317,4,274,127,3419,210,423,285,228,238,0,0,1616,6,4263,0,526,932,24,11629,1384
390,0,0,0,15,0,0,1,2,1,1,4,0,0,9,0,33,0,0,1,0,16,9
398,49,0,0,0,4,0,28,84,76,100,94,0,0,439,0,1445,0,0,120,116,240,382
402,5,0,2,29,47,94,12,32,16,13,34,0,0,116,30,373,0,147,514,7,870,107
403,0,0,21,24,41,126,63,117,109,68,82,0,0,458,20,1412,0,94,227,12,565,439
404,8,0,0,15,1,0,5,24,13,10,29,0,0,86,0,304,0,0,6,0,22,81
405,0,0,0,30,41,91,226,493,308,240,285,0,0,1660,31,4767,0,65,262,9,529,1552
406,6,0,0,23,21,42,813,1073,468,266,242,0,0,3207,7,6852,0,44,447,6,590,2862
407,0,0,0,17,80,22,832,737,309,168,112,0,0,2472,106,4563,0,8,460,47,740,2158
414,0,0,0,8,27,0,112,409,247,169,198,0,0,1198,10,3573,0,0,101,2,148,1135
415,0,0,0,6,3,0,36,156,113,77,68,0,0,467,3,1377,0,0,50,0,62,450
416,0,0,0,24,11,80,124,299,189,127,112,0,0,967,19,2487,0,21,97,9,261,851
417,9,0,0,22,0,190,0,0,0,0,0,0,0,0,0,9,0,0,81,0,293,0
418,6,0,0,0,7,0,94,261,168,122,108,0,0,784,12,2234,0,0,42,35,96,753
419,0,0,0,13,1,8,15,34,11,19,18,0,0,107,0,314,0,12,76,0,110,97
420,0,0,0,7,4,0,37,82,61,60,55,0,0,309,2,952,0,0,13,2,28,295
