TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,MILI,GOVT,HOTEL,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD
116,953,0,82,118,710,243,197,47,18,17,0,12,84,0,5,11,4,43,123,16,298,522,2,3,3.03389,1.913291,100,0,0,0,0,0,0,0,0.55,0.09,0,0,4
117,750,35,1309,247,658,268,132,33,14,5,0,28,648,0,4,3,150,826,161,0,1820,452,2,3,3.022651,1.889823,100,0,0,0,0,0,24,0,0.42,0.51,0,3,4
118,306,155,1339,320,210,68,27,5,2,1,0,23,691,0,10,8,3,886,1276,0,2897,103,2,3,3.023707,1.79457,100,0,0,0,0,0,107,0,0.41,0.37,0,1,4
119,0,0,2701,0,0,0,0,0,0,0,0,21,1124,1,12,32,6,1741,682,0,3619,0,2,3,3.078285,1.393558,100,0,0,0,0,0,0,0,0.47,0.5,0,0,4
120,1398,0,722,532,1021,415,281,74,33,10,0,0,522,0,34,5,16,552,34,0,1163,813,2,3,3.080495,1.618408,100,0,0,0,0,0,0,0,0.38,0.38,0,0,4
121,2225,427,308,934,1584,508,412,90,32,12,0,7,517,0,32,19,117,707,51,0,1450,1054,2,3,3.531513,1.481642,100,0,0,0,0,0,295,0,0.51,0.39,0,1,4
122,192,0,0,107,232,95,44,3,0,0,0,101,45,12,17,114,444,1827,1697,190,4447,142,2,3,3.470552,1.352833,100,0,0,0,0,0,0,0,0.63,0.5,0,0,4
123,60,0,667,105,72,12,10,4,4,0,0,69,322,8,26,18,39,561,478,5,1526,30,2,3,3.57126,1.448306,100,0,0,0,0,0,0,0,0.36,0.43,0,0,4
124,1786,0,116,79,1279,440,361,100,43,25,0,0,82,0,0,1,2,153,0,5,243,969,2,3,3.780431,1.576005,100,0,0,0,0,0,0,0,0.88,0,0,0,4
125,13,0,0,118,7,4,1,1,1,0,0,0,50,2,1,4,0,171,489,145,862,7,2,3,3.727468,1.55095,100,0,0,0,0,0,0,0,0.8,0.2,0,0,4
