TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,MILI,GOVT,HOTEL,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD,SHRWRKPKGPROVIDED
95,1645,47,0,0,559,92,150,110,88,92,0,10,0,1,2,2,13,35,1,14,78,532,3,1,0,1.539275,100,0,0,0,0,1,32,1,0,0,0,3,5,0.874251497
96,604,0,0,0,231,55,64,35,31,31,0,27,0,2,1,9,22,49,43,21,174,216,3,1,0,0,100,0,0,0,0,1,0,70,0,0,0,0,5,0.874251497
97,254,0,0,0,125,41,33,14,16,6,0,8,0,2,54,13,492,1167,974,15,2725,110,3,1,0,0,100,0,0,0,0,0,0,1729,0,0,0,0,5,0.874251497
98,343,0,0,0,125,11,51,18,22,15,0,0,0,0,0,1,1,23,0,8,33,117,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497
99,637,15,0,0,245,38,77,36,37,31,0,0,0,1,1,8,6,138,5,18,177,219,3,1,0,0,100,0,0,0,443,1,0,8,0,0,0,3,5,0.874251497
100,1000,0,0,0,396,54,117,77,71,36,0,0,0,0,11,4,26,47,0,11,99,355,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497
101,903,0,0,0,381,47,120,68,53,40,0,0,0,0,8,2,32,62,5,20,129,328,3,1,0,0,100,0,0,0,0,0,0,8,0,0,0,0,5,0.874251497
102,1289,0,0,0,562,106,196,81,67,50,0,522,0,0,5,4,82,488,18,31,1150,500,3,1,0,0,100,0,0,66,0,3,4,32,1,0,0,0,5,0.874251497
103,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,1,0,0,17,28,165,0,3,1,0,1.993389,100,0,8534,0,0,0,0,29,1,0,0,0,5,0.874251497
104,0,0,0,0,1,0,0,0,0,0,761,56,0,0,0,0,19,52,18,211,1117,0,3,1,0,1.5,100,0,0,0,0,0,0,1,1,0,1,0,5,0.874251497
105,1180,0,43,31,923,291,269,56,26,15,0,112,31,0,2,1,33,168,1,21,369,657,3,1,0,0,100,0,0,0,0,0,0,0,1,0,0,0,4,0.441860465
106,70,54,101,0,23,6,3,0,1,0,0,26,43,3,3,0,12,234,86,12,419,10,3,1,0,1.201925,100,0,0,0,0,0,0,0,1,0,0,3,4,0.441860465
107,1454,65,0,0,792,295,284,70,43,28,0,85,0,4,1,6,8,252,113,23,492,720,3,1,0,1,100,0,0,270,443,3,0,199,1,0,0,3,5,0.874251497
108,1738,8,0,0,623,106,177,118,94,97,0,0,0,0,13,6,19,64,41,16,159,592,3,1,0,0.5,100,0,0,0,0,0,2,72,0,0,0,3,5,0.874251497
109,1930,20,0,0,801,180,234,136,92,88,0,0,0,0,25,4,71,397,127,23,647,730,3,1,0,0.839267,100,0,0,14,70,2,6,224,0,0,0,3,5,0.874251497
110,13,0,0,0,8,2,4,1,0,0,0,21,0,1,0,0,0,72,11,16,121,7,3,1,0,1.190516,100,0,0,0,0,0,0,0,0,0,0,0,4,0.441860465
111,403,0,0,0,226,76,78,29,13,5,0,0,0,0,0,0,0,3,18,19,40,201,3,1,0,1.487982,100,0,0,0,392,1,0,0,1,0,0,0,4,0.441860465
112,573,0,764,72,340,107,135,31,9,13,0,18,348,0,1,0,0,146,0,0,513,295,3,1,0,1.679918,100,0,0,0,0,0,2,0,1,0,0,0,4,0.441860465
113,225,0,2174,0,171,89,26,13,5,4,0,53,905,1,1,2,1,825,59,0,1847,137,2,3,2.875454,1.647247,100,0,0,0,0,0,0,0,0,0,0,0,4,0.441860465
114,1496,31,0,879,1049,420,284,76,31,21,0,30,366,0,3,11,52,377,1,4,844,832,3,1,2.5,1.739366,100,0,0,0,0,0,0,0,0,0,0,3,4,0.441860465
115,2436,0,620,8,1585,715,462,120,59,35,0,7,262,0,4,4,19,215,0,0,511,1391,2,3,3.034096,1.84656,100,0,0,0,0,0,0,0,1,0,0,0,4,0.441860465
116,1051,0,82,108,710,253,223,49,29,17,0,12,80,0,4,11,2,41,98,13,261,571,2,3,3.03389,1.913291,100,0,0,0,0,0,0,0,1,0,0,0,4,0.441860465
117,864,35,1309,149,658,282,143,40,21,10,0,34,607,0,4,3,141,740,153,0,1682,496,2,3,3.022651,1.889823,100,0,0,0,0,0,10,0,0,1,0,3,4,0.441860465
118,342,155,1330,218,216,76,26,9,3,4,0,30,644,0,10,5,2,746,962,0,2399,118,2,3,3.023707,1.79457,100,0,0,0,0,0,0,0,0,0,0,1,4,0.441860465
119,0,0,2701,0,0,0,0,0,0,0,0,29,1124,2,11,32,6,1724,676,0,3604,0,2,3,3.078285,1.393558,100,0,0,0,0,0,0,0,0,1,0,0,4,0.441860465
120,1533,0,722,214,1029,413,283,75,49,21,0,2,390,0,18,3,13,275,20,0,721,841,2,3,3.080495,1.618408,100,0,0,0,0,0,0,0,0,0,0,0,4,0.441860465
121,2387,427,308,460,1585,546,429,92,37,24,0,9,320,0,26,12,94,522,36,0,1019,1128,2,3,3.531513,1.481642,100,0,0,0,0,0,8,0,1,0,0,1,4,0.441860465
122,258,0,0,107,237,112,54,5,3,2,0,110,45,14,30,114,456,1900,1678,194,4541,176,2,3,3.470552,1.352833,100,0,0,0,0,0,0,0,1,1,0,0,4,0.441860465
123,90,0,667,0,73,19,13,5,5,2,0,114,278,10,38,26,79,804,405,13,1767,44,2,3,3.57126,1.448306,100,0,0,0,0,0,0,0,0,0,0,0,4,0.441860465
