TAZ,Work_0,Work_1,Work_2,Work_3,Work_4,Work_5,Work_6,University,School,Escort,Maintenance,Discretionary,AtWork
250,0.19644,0.28069,0.39256,0.65319,0.91522,1.06919,6.83359,1.58498,0,0,0,0,0
251,0.24913,-2.62804E-4,0.23862,0.26453,0.1178,0.02689,6.50315,1.95537,0,0,0,0,0
252,-0.14878,-0.02832,0.03371,-0.1254,0.27815,0.22413,6.80897,0.57263,0,0,0,0,0
253,0.19381,0.45407,-0.16974,0.22206,0.61454,-8.05327E-3,1.52402,1.82156,0,0,0,0,0
254,0.11749,-0.03333,0.58708,0.15525,0.20961,1.33906,0,1.87692,0,0,0,0,0
255,7.97065E-3,0.18382,0.25367,0.13169,0.40701,0.27687,6.34307,1.90488,0,0,0,0,0
256,-0.16688,-0.02878,0.06359,-0.04786,0.18614,0.42632,6.28813,1.84356,0,0,0,0,0
257,0.0596,0.22964,0.27511,0.1149,0.17177,0.12161,3.84664,1.94963,0,0,0,0,0
258,0.32568,0.33813,0.27316,0.19159,0.17316,0.59021,1.29249,1.32147,0,0,0,0,0
259,0.10508,0.8333,-0.16782,0.76394,0.34828,0.48462,0,0.08914,0,0,0,0,0
260,0.1796,0.37179,0.2825,0.19933,0.3501,0.32235,5.4844,2.63062,0,0,0,0,0
261,0.37155,0.73976,0.37811,0.44115,0.56742,0.87524,0,1.7597,0,0,0,0,0
262,0.10013,0.36594,0.44489,0.21224,0.14255,-0.04518,0,2.52701,0,0,0,0,0
263,0.27508,-0.20975,-0.07061,0.32409,0.21579,0.60546,6.82479,2.24992,0,0,0,0,0
264,0.31775,0.08962,0.37325,0.17158,0.56129,0.5478,0,2.02456,0,0,0,0,0
